handle,luna_nova_score,luna_hard_score,placements,is_trusted
samsoom,0,192.98,"1.3;2.5",true
Barakat.,0,172.88,"1.3;2.5",true
the_seal,0,146.02,"5.4;15",true
ayoooy,0,131.54,"8.1;7.5",true
Batata,0,148.06,"9.4;5",true
--hmzabanna--,0,138.42,"5.4;15",true
LazLooz,0,136.78,"5.4;15",true
OmarMajdi,0,129.81,"8.1;12.5",true
Ghaith_zakaria,0,137.07,"9.4;5",true
Hanagasumii,0,104.02,"1.3;12.5",true
0xmar,0,108.59,"9.4;5",true
Shaaker,0,110.64,"8.1;10",true
Tardi,0,74.27,"10;10.8",true
hammoudehib,0,56.4,"10.8;22.5",true
yousefAbukhass,0,61.45,"10.8;22.5",true
Sadasak,0,0,"6.7;27.5",true
omaralmadanii,0,0,"6.7;27.5",true
babushkaguy,0,90,"27;60",false
real_MBS,0,0,"27;65",true
laith7127,138,56.23,"22.5",true
Jebreel,0,121.14,"25",true
DarkVoidd,0,102.4,"32.5",true
biskuite,0,58.5,"32.5",true
Und3rCov3r,0,64.29,"42.5",false
Tasneem_06,0,84,"50",true
zei20241012,88,0,"50",true
310laraaa,130,0,"50",true