handle,luna_nova,luna_hard,placements,is_trusted
samsoom,0,192.98,"0.02;0.03",true
Barakat.,0,172.88,"0.08;0.02;0.03;0.03;0.70",true
Hanagasumii,0,104.02,"0.08;0.02",true
ayoooy,0,131.54,"0.08",true
OmarMajdi,0,129.81,"",true
Shaaker,0,110.64,"",true
Ghaith_Zakaria,0,137.07,"0.11;0.05;0.14;0.17",true
0xmar,0,108.59,"0.11;0.05;0.14",true
kha20221005,0,0,"",true
yousefAbukhass,0,61.45,"",true
Tardi,0,74.27,"",true
hammoudehib,0,56.4,"",true
laith7127,0,56.23,"",true
Batata,0,148.06,"0.11;0.05;0.14",true
the_seal,0,146.02,"0.15;0.06;0.17",true
LazLooz,0,136.78,"0.06;0.15",true
--hmzabanna--,0,138.42,"0.06;0.15",true
mhna.,0,0,"0.03",true